# x y z tau_x tau_y tau_z
0.2028378291 -0.0254 0 -0.000957122 0.000982366 0
0.20494322545 -0.0254 0 -0.00141654 0.000441344 0
0.20702330175 -0.02529279696 0 -0.0033773 0.00123578 -3.25314e-18
0.209109729 -0.025074218865 0 -0.00644761 0.00109896 2.92568e-18
0.21127735365 -0.024847134375 0 -0.00948845 0.000834741 0
0.2135293357 -0.02461121245 0 -0.0127605 0.000538068 0
0.215868958 -0.02436610916 0 -0.0162981 0.00011627 -4.53619e-18
0.21829963125 -0.024111467195 0 -0.0200284 -0.000362762 4.20852e-18
0.22082489895 -0.023846915345 0 -0.0239488 -0.000856514 3.9234e-18
0.22344844235 -0.02357206794 0 -0.0281253 -0.00132538 3.66282e-18
0.22617408605 -0.023286524315 0 -0.0325849 -0.00180358 0
0.22900580355 -0.0229898682 0 -0.0373431 -0.0023067 3.21257e-18
0.23194772285 -0.02268166713 0 -0.0424142 -0.00283873 -3.00805e-18
0.2350041327 -0.022361471815 0 -0.0478184 -0.00340264 -5.63601e-18
0.2381794887 -0.02202881547 0 -0.0535818 -0.00400096 0
0.24147841985 -0.021683213155 0 -0.0597278 -0.0046373 -4.92853e-18
0.2449057354 -0.021324161055 0 -0.0663045 -0.00531494 0
0.2484664316 -0.02095113574 0 -0.0733253 -0.0060381 0
0.25216569925 -0.02056359341 0 -0.0809126 -0.00681132 0
0.25600893115 -0.020160969115 0 -0.0889737 -0.00764101 -5.34039e-21
0.26000172995 -0.01974267591 0 -0.097968 -0.00853461 0
0.2641499163 -0.019308104005 0 -0.107177 -0.00950299 0
0.2684595374 -0.018856619885 0 -0.118526 -0.010546 0
0.27293687585 -0.01838756538 0 -0.128529 -0.0117344 4.21057e-18
0.2775884587 -0.017900256705 0 -0.144835 -0.0129282 -3.39763e-18
0.282421067 -0.01739398346 0 -0.153533 -0.014625 -4.11412e-18
0.28744174565 -0.0168680076 0 -0.183905 -0.0153593 -1.64601e-18
