#     point_x       point_y       point_z
      0.15089       -0.0254       -0.0005
      0.15089       -0.0254        0.0005
     0.152591       -0.0254       -0.0005
     0.152591       -0.0254        0.0005
     0.154306       -0.0254       -0.0005
     0.154306       -0.0254        0.0005
     0.156034       -0.0254       -0.0005
     0.156034       -0.0254        0.0005
     0.157775       -0.0254       -0.0005
     0.157775       -0.0254        0.0005
     0.159531       -0.0254       -0.0005
     0.159531       -0.0254        0.0005
     0.161299       -0.0254       -0.0005
     0.161299       -0.0254        0.0005
     0.163082       -0.0254       -0.0005
     0.163082       -0.0254        0.0005
     0.164878       -0.0254       -0.0005
     0.164878       -0.0254        0.0005
     0.166688       -0.0254       -0.0005
     0.166688       -0.0254        0.0005
     0.168513       -0.0254       -0.0005
     0.168513       -0.0254        0.0005
     0.170351       -0.0254       -0.0005
     0.170351       -0.0254        0.0005
     0.172204       -0.0254       -0.0005
     0.172204       -0.0254        0.0005
     0.174071       -0.0254       -0.0005
     0.174071       -0.0254        0.0005
     0.175953       -0.0254       -0.0005
     0.175953       -0.0254        0.0005
     0.177849       -0.0254       -0.0005
     0.177849       -0.0254        0.0005
      0.17976       -0.0254       -0.0005
      0.17976       -0.0254        0.0005
     0.181686       -0.0254       -0.0005
     0.181686       -0.0254        0.0005
     0.183627       -0.0254       -0.0005
     0.183627       -0.0254        0.0005
     0.185583       -0.0254       -0.0005
     0.185583       -0.0254        0.0005
     0.187555       -0.0254       -0.0005
     0.187555       -0.0254        0.0005
     0.189541       -0.0254       -0.0005
     0.189541       -0.0254        0.0005
     0.191543       -0.0254       -0.0005
     0.191543       -0.0254        0.0005
     0.193561       -0.0254       -0.0005
     0.193561       -0.0254        0.0005
     0.195594       -0.0254       -0.0005
     0.195594       -0.0254        0.0005
     0.197643       -0.0254       -0.0005
     0.197643       -0.0254        0.0005
     0.199708       -0.0254       -0.0005
     0.199708       -0.0254        0.0005
     0.201789       -0.0254       -0.0005
     0.201789       -0.0254        0.0005
     0.203886       -0.0254       -0.0005
     0.203886       -0.0254        0.0005
        0.206       -0.0254       -0.0005
        0.206       -0.0254        0.0005
     0.208047    -0.0251856       -0.0005
     0.208047    -0.0251856        0.0005
     0.210173    -0.0249628       -0.0005
